SeqNo,Date,UTC Time,MES, R_Run, S_S, VN, UR_V, L_OP1I, L_OP1O, L_OP2I, L_OP2O, DI, DO, J_V_0, J_V_1, J_V_2, J_V_3, J_V_4, J_V_5, J_P_0, J_P_1, J_P_2, J_P_3, J_P_4, J_P_5, J_C_0, J_C_1, J_C_2, J_C_3, J_C_4, J_C_5, TCP_F_0, TCP_F_1, TCP_F_2, TCP_T_0, TCP_T_1,Cycle_Time, TCP_T_2,Averge_CT,Label
898,8/14/2022,52:28.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.85E-02,1.01E-01,-5.25E-02,-2.20E+00,5.77E-01,-2.41E-01,3.10E+00,-1.10E-01,-3.43E-01,4.28E-02,-4.43E-02,2.85E-03,-2.57E-01,2.84E-03,Normal
899,8/14/2022,52:29.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.18E-02,9.91E-02,-4.81E-02,-2.23E+00,5.56E-01,-2.47E-01,2.99E+00,5.09E-02,-5.12E-01,4.11E-02,-4.61E-02,3.37E-03,-2.52E-01,2.94E-03,Normal
900,8/14/2022,52:29.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.95E-02,1.38E-01,-7.28E-02,-2.23E+00,5.46E-01,-2.60E-01,2.99E+00,-5.26E-02,-2.31E-01,4.64E-02,-3.89E-02,2.99E-03,-2.48E-01,3.00E-03,Normal
901,8/14/2022,52:30.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-9.04E-02,1.16E-01,-8.00E-02,-2.27E+00,5.56E-01,-2.03E-01,3.00E+00,-3.85E-02,-3.95E-01,4.31E-02,-4.25E-02,2.25E-03,-2.57E-01,2.70E-03,Normal
902,8/14/2022,52:30.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.65E-02,1.12E-01,-4.27E-02,-2.24E+00,5.05E-01,-2.31E-01,2.85E+00,-2.66E-01,7.47E-02,4.89E-02,-3.26E-02,2.31E-03,-2.44E-01,2.67E-03,Normal
903,8/14/2022,52:31.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.91E-02,1.20E-01,-4.92E-02,-2.21E+00,5.98E-01,-2.50E-01,2.98E+00,-2.08E-01,-7.01E-02,4.76E-02,-3.37E-02,2.33E-03,-2.44E-01,2.57E-03,Normal
904,8/14/2022,52:31.8,1,1,1.00E+00,0,3,0,0,1,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.46E-02,1.05E-01,-6.25E-02,-2.22E+00,5.88E-01,-1.49E-01,2.97E+00,-3.44E-02,-2.62E-01,4.22E-02,-3.87E-02,2.39E-03,-2.47E-01,2.58E-03,Normal
905,8/14/2022,52:32.3,1,1,1.00E+00,0,3,0,0,1,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.57E-02,1.10E-01,-6.39E-02,-2.21E+00,5.88E-01,-9.82E-02,3.03E+00,-2.80E-01,-4.01E-02,4.93E-02,-3.35E-02,3.38E-03,-2.44E-01,2.69E-03,Normal
906,8/14/2022,52:32.8,1,1,1.00E+00,0,3,0,0,1,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.31E-02,1.30E-01,-3.94E-02,-2.20E+00,5.87E-01,-1.88E-01,2.98E+00,-2.99E-01,-3.83E-01,4.71E-02,-4.00E-02,2.91E-03,-2.42E-01,2.71E-03,Normal
907,8/14/2022,52:33.3,1,1,1.00E+00,0,3,0,0,1,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.89E-02,9.36E-02,-4.22E-02,-2.20E+00,5.71E-01,-1.80E-01,2.93E+00,-3.27E-01,-1.02E-01,4.88E-02,-3.21E-02,2.27E-03,-2.39E-01,2.70E-03,Normal
908,8/14/2022,52:33.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-8.04E-02,1.20E-01,-5.96E-02,-2.22E+00,6.39E-01,-1.89E-01,3.07E+00,1.54E-01,-4.65E-01,4.05E-02,-4.19E-02,2.97E-03,-2.47E-01,2.72E-03,Normal
909,8/14/2022,52:34.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.92E-02,1.17E-01,-3.87E-02,-2.24E+00,5.87E-01,-2.12E-01,3.10E+00,2.42E-01,-2.28E-01,3.46E-02,-3.51E-02,2.30E-03,-2.51E-01,2.61E-03,Normal
910,8/14/2022,52:34.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-8.47E-02,1.07E-01,-5.54E-02,-2.16E+00,6.34E-01,-1.98E-01,2.91E+00,-6.67E-02,-2.29E-01,4.32E-02,-3.31E-02,2.26E-03,-2.44E-01,2.54E-03,Normal
911,8/14/2022,52:35.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.47E-02,1.19E-01,-4.70E-02,-2.22E+00,5.87E-01,-2.38E-01,3.06E+00,1.94E-02,-3.58E-02,4.05E-02,-3.25E-02,2.50E-03,-2.49E-01,2.56E-03,Normal
912,8/14/2022,52:35.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.58E-02,1.32E-01,-5.86E-02,-2.23E+00,6.28E-01,-2.45E-01,2.84E+00,-2.19E-01,-2.22E-01,4.88E-02,-3.73E-02,2.34E-03,-2.42E-01,2.56E-03,Normal
913,8/14/2022,52:36.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.75E-02,1.27E-01,-6.50E-02,-2.22E+00,5.77E-01,-1.54E-01,2.91E+00,6.55E-02,-3.65E-01,4.05E-02,-3.91E-02,3.34E-03,-2.44E-01,2.67E-03,Normal
914,8/14/2022,52:36.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.64E-02,8.48E-02,-2.07E-02,-2.21E+00,5.87E-01,-2.57E-01,2.98E+00,-2.68E-01,-1.13E-01,4.86E-02,-3.41E-02,2.41E-03,-2.46E-01,2.67E-03,Normal
915,8/14/2022,52:37.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.36E-02,9.93E-02,-4.12E-02,-2.27E+00,5.72E-01,-1.68E-01,2.90E+00,1.82E-01,-2.77E-01,3.73E-02,-3.70E-02,3.31E-03,-2.43E-01,2.66E-03,Normal
916,8/14/2022,52:37.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.67E-02,1.15E-01,-4.29E-02,-2.19E+00,6.23E-01,-1.89E-01,2.91E+00,9.94E-02,-4.23E-01,3.94E-02,-3.95E-02,3.49E-03,-2.42E-01,2.72E-03,Normal
917,8/14/2022,52:38.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.61E-02,1.13E-01,-6.84E-02,-2.30E+00,5.82E-01,-1.69E-01,2.86E+00,-1.66E-01,-3.61E-01,4.63E-02,-3.76E-02,3.18E-03,-2.47E-01,2.81E-03,Normal
918,8/14/2022,52:38.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.46E-02,9.02E-02,-5.84E-02,-2.24E+00,6.90E-01,-2.07E-01,3.07E+00,-4.07E-01,-1.06E-01,5.13E-02,-2.94E-02,2.64E-03,-2.43E-01,2.78E-03,Normal
919,8/14/2022,52:39.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.28E-02,1.12E-01,-6.59E-02,-2.24E+00,6.23E-01,-1.80E-01,3.03E+00,-3.15E-02,-3.20E-01,4.36E-02,-3.83E-02,3.80E-03,-2.41E-01,2.93E-03,Normal
920,8/14/2022,52:39.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.99E-02,1.13E-01,-6.02E-02,-2.22E+00,5.82E-01,-2.29E-01,2.95E+00,-2.95E-01,-2.24E-01,5.02E-02,-3.40E-02,2.40E-03,-2.40E-01,2.94E-03,Normal
921,8/14/2022,52:40.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.61E-02,1.12E-01,-7.14E-02,-2.20E+00,6.44E-01,-2.12E-01,2.95E+00,4.30E-02,-1.80E-01,3.99E-02,-3.28E-02,2.35E-03,-2.41E-01,2.93E-03,Normal
922,8/14/2022,52:40.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.57E-02,9.26E-02,-5.68E-02,-2.29E+00,6.34E-01,-1.46E-01,2.82E+00,3.17E-01,-3.45E-01,3.38E-02,-3.80E-02,3.30E-03,-2.42E-01,3.02E-03,Normal
923,8/14/2022,52:41.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.72E-02,1.11E-01,-6.80E-02,-2.20E+00,5.92E-01,-2.49E-01,2.71E+00,-2.17E-01,-9.47E-02,4.86E-02,-3.07E-02,2.39E-03,-2.39E-01,2.93E-03,Normal
924,8/14/2022,52:41.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.06E-02,1.30E-01,-6.74E-02,-2.25E+00,6.24E-01,-1.66E-01,2.88E+00,-1.21E-01,-1.73E-01,4.70E-02,-3.22E-02,2.79E-03,-2.38E-01,2.96E-03,Normal
925,8/14/2022,52:42.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.35E-02,1.11E-01,-6.20E-02,-2.25E+00,6.24E-01,-1.73E-01,2.75E+00,5.19E-02,-2.48E-01,4.56E-02,-3.32E-02,1.88E-03,-2.43E-01,2.82E-03,Normal
926,8/14/2022,52:42.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.82E-02,9.43E-02,-5.90E-02,-2.26E+00,5.92E-01,-1.82E-01,3.01E+00,2.60E-01,-4.87E-01,3.49E-02,-3.93E-02,1.83E-03,-2.50E-01,2.66E-03,Normal
927,8/14/2022,52:43.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.17E-02,1.18E-01,-6.09E-02,-2.26E+00,6.03E-01,-1.83E-01,2.94E+00,-6.56E-02,-2.79E-01,4.27E-02,-3.63E-02,2.25E-03,-2.46E-01,2.56E-03,Normal
928,8/14/2022,52:43.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.77E-02,1.12E-01,-6.79E-02,-2.24E+00,6.49E-01,-2.17E-01,2.86E+00,1.93E-02,-1.45E-01,4.09E-02,-3.12E-02,1.77E-03,-2.42E-01,2.48E-03,Normal
929,8/14/2022,52:44.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.55E-02,9.88E-02,-9.09E-02,-2.20E+00,6.13E-01,-1.87E-01,2.94E+00,-5.91E-02,-1.76E-01,4.41E-02,-3.00E-02,2.30E-03,-2.43E-01,2.33E-03,Normal
930,8/14/2022,52:44.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.53E-02,8.35E-02,-7.28E-02,-2.25E+00,6.07E-01,-2.00E-01,2.75E+00,1.68E-01,-1.28E-01,4.03E-02,-2.92E-02,2.26E-03,-2.40E-01,2.31E-03,Normal
931,8/14/2022,52:45.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.49E-02,1.03E-01,-5.75E-02,-2.26E+00,6.29E-01,-1.76E-01,2.86E+00,-8.94E-02,-2.19E-01,4.46E-02,-3.25E-02,3.47E-03,-2.40E-01,2.42E-03,Normal
932,8/14/2022,52:45.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.16E-02,1.13E-01,-6.58E-02,-2.29E+00,6.02E-01,-2.01E-01,2.91E+00,1.63E-01,-2.38E-01,3.87E-02,-3.26E-02,2.31E-03,-2.45E-01,2.32E-03,Normal
933,8/14/2022,52:46.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.07E-02,1.12E-01,-2.82E-02,-2.25E+00,5.92E-01,-1.81E-01,2.87E+00,-2.23E-01,-2.49E-01,4.83E-02,-3.08E-02,4.12E-03,-2.46E-01,2.50E-03,Normal
934,8/14/2022,52:46.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.31E-02,1.12E-01,-5.04E-02,-2.23E+00,5.92E-01,-1.42E-01,2.76E+00,-9.70E-02,-3.34E-01,4.22E-02,-3.44E-02,3.28E-03,-2.45E-01,2.55E-03,Normal
935,8/14/2022,52:47.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.69E-02,1.00E-01,-2.64E-02,-2.26E+00,5.92E-01,-2.14E-01,2.63E+00,-2.47E-01,-9.43E-02,4.94E-02,-2.93E-02,3.51E-03,-2.30E-01,2.71E-03,Normal
936,8/14/2022,52:47.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-3.79E-02,1.19E-01,-2.95E-02,-2.26E+00,6.29E-01,-1.83E-01,2.61E+00,-4.93E-01,1.47E-01,5.82E-02,-2.32E-02,2.33E-03,-2.26E-01,2.76E-03,Normal
937,8/14/2022,52:48.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.64E-02,8.35E-02,-5.23E-02,-2.27E+00,6.34E-01,-1.55E-01,2.87E+00,2.21E-01,-2.74E-01,3.82E-02,-3.46E-02,2.24E-03,-2.40E-01,2.76E-03,Normal
938,8/14/2022,52:48.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.43E-02,1.01E-01,-4.41E-02,-2.29E+00,6.23E-01,-1.60E-01,2.74E+00,-4.06E-03,-1.95E-01,4.16E-02,-3.13E-02,2.91E-03,-2.38E-01,2.87E-03,Normal
939,8/14/2022,52:49.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.80E-02,1.36E-01,-4.86E-02,-2.27E+00,6.90E-01,-2.50E-01,2.72E+00,-2.88E-01,-3.99E-03,4.95E-02,-2.63E-02,2.34E-03,-2.35E-01,2.88E-03,Normal
940,8/14/2022,52:49.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.44E-02,1.11E-01,-6.39E-02,-2.28E+00,6.54E-01,-1.72E-01,2.63E+00,-3.92E-01,3.16E-03,5.21E-02,-2.85E-02,2.29E-03,-2.35E-01,2.88E-03,Normal
941,8/14/2022,52:50.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-8.11E-02,1.02E-01,-4.28E-02,-2.24E+00,6.33E-01,-1.90E-01,2.81E+00,1.09E-01,-3.31E-01,4.30E-02,-3.49E-02,3.43E-03,-2.43E-01,2.88E-03,Normal
942,8/14/2022,52:50.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.85E-02,1.10E-01,-7.72E-02,-2.17E+00,6.23E-01,-2.14E-01,2.89E+00,6.11E-02,-3.70E-01,3.88E-02,-3.45E-02,2.41E-03,-2.44E-01,2.89E-03,Normal
943,8/14/2022,52:51.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.37E-02,1.16E-01,-4.87E-02,-2.17E+00,6.03E-01,-2.07E-01,2.87E+00,1.36E-01,-3.59E-01,4.06E-02,-3.40E-02,2.39E-03,-2.42E-01,2.71E-03,Normal
944,8/14/2022,52:51.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-9.20E-02,1.38E-01,-5.86E-02,-2.17E+00,6.07E-01,-2.08E-01,2.80E+00,1.33E-01,-4.37E-01,3.62E-02,-3.74E-02,2.35E-03,-2.47E-01,2.62E-03,Normal
945,8/14/2022,52:52.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.99E-02,1.03E-01,-4.62E-02,-2.20E+00,6.18E-01,-2.14E-01,2.78E+00,-1.65E-01,-6.76E-02,4.59E-02,-2.69E-02,2.37E-03,-2.35E-01,2.51E-03,Normal
946,8/14/2022,52:52.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-3.98E-02,1.06E-01,-5.00E-02,-2.26E+00,5.82E-01,-1.76E-01,2.66E+00,-2.77E-01,-6.00E-02,4.89E-02,-2.79E-02,2.55E-03,-2.37E-01,2.53E-03,Normal
947,8/14/2022,52:53.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.58E-02,1.03E-01,-6.76E-02,-2.24E+00,6.29E-01,-2.13E-01,2.62E+00,-3.18E-01,-1.02E-01,5.02E-02,-2.67E-02,2.29E-03,-2.40E-01,2.53E-03,Normal
948,8/14/2022,52:53.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.07E-02,1.22E-01,-8.91E-02,-2.19E+00,6.02E-01,-2.10E-01,2.99E+00,1.85E-01,-3.00E-01,3.86E-02,-3.24E-02,2.34E-03,-2.44E-01,2.48E-03,Normal
949,8/14/2022,52:54.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.45E-02,1.03E-01,-6.34E-02,-2.20E+00,5.87E-01,-2.13E-01,2.68E+00,-1.32E-01,-1.13E-02,4.67E-02,-2.49E-02,2.91E-03,-2.38E-01,2.53E-03,Normal
950,8/14/2022,52:54.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,1.67E+00,-3.52E-02,-2.91E-01,9.22E-02,2.08E-01,7.94E-01,-4.52E+00,-1.57E+00,-1.39E+00,2.12E+00,-2.32E+00,-1.48E+00,6.40E-01,-3.79E-01,-5.60E-01,-1.25E+00,2.25E+00,2.31E+00,6.17E-02,-9.73E-01,1.37E+00,7.65E-04,-2.74E-02,3.27E-03,2.28E-01,2.63E-03,Normal
951,8/14/2022,52:55.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,1.66E+00,-1.46E-02,-3.58E-01,6.76E-03,3.78E-01,6.58E-01,-4.07E+00,-1.58E+00,-1.48E+00,2.14E+00,-2.25E+00,-1.27E+00,4.54E-01,-2.12E-01,-7.71E-01,-1.33E+00,1.57E+00,1.37E+00,-3.57E-01,-1.42E+00,-2.67E-01,1.07E-02,1.91E-02,1.84E-03,2.53E-01,2.47E-03,Normal
952,8/14/2022,52:55.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,1.46E+00,5.17E-03,-3.25E-01,-8.76E-02,4.35E-01,4.61E-01,-3.24E+00,-1.59E+00,-1.65E+00,2.14E+00,-2.07E+00,-9.44E-01,3.60E-01,-7.58E-02,-6.10E-01,-2.74E+00,9.36E-01,1.42E+00,-2.76E+00,1.27E+00,5.55E-01,4.87E-02,6.61E-02,3.83E-03,2.92E-01,2.61E-03,Normal
953,8/14/2022,52:56.3,1,1,1.00E+00,0,3,0,0,0,1,0,1,1.33E+00,1.38E-02,-2.66E-01,-1.61E-01,4.39E-01,3.40E-01,-2.19E+00,-1.58E+00,-1.88E+00,2.05E+00,-1.74E+00,-6.35E-01,3.03E-01,3.50E-01,-6.22E-01,-2.69E+00,-1.24E-01,1.07E+00,6.54E-01,7.27E-01,1.01E+00,1.26E-01,9.78E-02,3.40E-03,2.67E-01,2.71E-03,Normal
954,8/14/2022,52:56.8,1,1,1.00E+00,0,3,0,0,0,1,0,1,1.15E+00,1.39E-02,-1.53E-01,-2.51E-01,4.00E-01,2.15E-01,-1.59E+00,-1.57E+00,-1.97E+00,1.94E+00,-1.53E+00,-5.09E-01,4.06E-01,3.05E-01,-6.73E-01,-2.93E+00,-1.39E+00,9.50E-01,5.94E-01,-1.54E+00,1.12E+00,7.71E-02,5.47E-02,5.22E-03,2.22E-01,3.00E-03,Normal
